ST,Run ID
1,SRR1695804
2,SRR1043170
3,ERR1102370
4,SRR4032184
5,SRR7249141
6,SRR3707728
7,SRR3320065
8,ERR1276144
9,SRR3215357
10,ERR1738830
11,SRR3066070
12,SRR1812828
13,ERR1738832
14,SRR3113290
16,ERR2521226
18,SRR4052118
19,SRR5764895
20,SRR7355829
21,ERR2135633
22,SRR2889969
26,ERR1947095
29,SRR1481641
31,SRR5280377
32,SRR7416074
35,SRR4453628
36,SRR5085020
37,ERR2520810
38,ERR1304239
54,SRR7184513
59,SRR5875059
67,ERR1230414
70,ERR1600151
71,SRR1709558
73,SRR3394996
77,ERR2523781
85,SRR2062728
87,SRR2138304
88,SRR2889973
91,SRR3340454
101,SRR6457865
107,SRR2906888
120,ERR1816984
121,ERR1432960
122,SRR1509586
124,SRR3606924
145,ERR1102579
155,SRR5341845
173,SRR6798561
177,ERR2512035
184,SRR1815975
191,SRR5278963
193,ERR1100963
194,SRR5764860
195,SRR1818101
197,SRR6344647
199,SRR4000016
200,ERR1738775
201,SRR1814352
202,SRR2051126
203,SRR1805412
204,SRR4052108
206,SRR3345877
207,SRR4252554
213,SRR1534974
217,SRR3223765
218,ERR1431118
219,SRR3136993
220,SRR5159838
222,SRR1816108
224,SRR5711998
226,SRR5093691
230,SRR3305668
236,ERR1599776
257,SRR1270006
258,SRR5291674
264,SRR6392089
279,SRR5400201
288,SRR5839909
290,SRR1818069
291,ERR1230411
292,SRR3114195
296,SRR3929011
299,ERR1102615
307,SRR7164096
308,SRR7164131
320,ERR1102336
321,SRR2138307
323,SRR1698183
324,SRR3095276
325,SRR5085148
328,ERR1102396
330,ERR2522026
360,SRR6000475
361,SRR3062398
363,SRR5632923
364,SRR5715005
365,SRR5632290
368,SRR3178072
369,SRR6315369
370,SRR1818039
371,SRR5278973
372,SRR2540524
373,SRR1818054
374,SRR3929018
375,SRR1056323
376,SRR6926116
378,SRR1623035
379,SRR5105908
380,SRR1657591
382,SRR5016849
386,ERR1100944
388,SRR1576002
389,SRR7172427
390,SRR5263241
391,SRR3112488
392,SRR1597492
394,SRR7172542
397,SRR3878182
398,SRR7167580
399,SRR5278872
403,ERR2261384
404,ERR1304224
412,SRR5387508
424,SRR6249756
425,SRR7525547
426,SRR2086595
427,SRR3112450
429,SRR1988254
431,SRR3383229
451,ERR1600140
454,ERR1230416
455,SRR6048924
480,SRR6424849
489,SRR1482403
504,SRR7180004
506,SRR1818043
515,ERR2521886
517,SRR1779518
551,SRR5195797
554,SRR1638903
557,SRR3745080
558,SRR2040767
561,SRR1041631
562,SRR2051104
563,SRR6957312
569,SRR1805404
570,SRR1566195
573,SRR7135031
576,ERR2522001
581,SRR6436600
585,SRR3986223
595,ERR2523735
631,SRR6786592
635,SRR1569803
637,SRR2917155
639,SRR4039077
647,ERR1738823
648,SRR3489985
651,SRR1217488
654,SRR988752
659,SRR1016602
663,SRR6907241
666,SRR5136584
669,SRR1657587
688,SRR1619183
689,SRR1016569
723,SRR3634447
735,SRR6387423
736,SRR6807441
745,SRR1805409
775,SRR4301095
781,SRR945155
782,SRR6240008
784,SRR2154027
788,SRR1284744
789,SRR6321957
791,SRR2049095
792,SRR988725
795,SRR6228859
796,SRR5000193
797,SRR6077117
801,SRR3707734
802,ERR1599753
808,ERR2522047
816,SRR7164110
818,SRR5896299
819,SRR2057388
820,SRR5412529
824,SRR1996262
826,SRR975364
838,SRR1535001
841,SRR3929006
845,SRR1021889
846,SRR3360164
847,SRR975360
848,SRR1393990
867,SRR1030268
869,SRR1451273
876,SRR6829229
881,SRR5651532
910,SRR2124400
912,SRR3929019
918,SRR3453143
920,SRR1258033
941,SRR5263252
946,SRR1578490
999,SRR2485318
1000,SRR1805395
1038,SRR1793286
1039,SRR6395704
1041,SRR2924559
1042,SRR1272860
1043,SRR6671557
1046,SRR1220810
1047,SRR6143707
1052,SRR3205798
1056,SRR1917077
1059,SRR1818109
1063,SRR1818022
1072,SRR2848790
1073,SRR1264937
1075,SRR1805363
1078,SRR1805450
1081,SRR3065880
1082,SRR1783168
1084,SRR2124360
1087,SRR5132006
1093,SRR5817972
1097,SRR2585422
1106,SRR1664795
1107,SRR1805479
1108,SRR5221989
1113,SRR2026437
1118,SRR5714967
1123,SRR1812875
1126,SRR1982113
1129,SRR5278337
1132,SRR5896275
1137,SRR2728259
1139,SRR5896261
1140,SRR1805529
1144,SRR1744013
1185,SRR1805537
1206,SRR1509574
1214,SRR1805484
1216,SRR5409430
1217,SRR2192200
1245,SRR1695807
1292,SRR5632023
1321,SRR5632983
1368,SRR6396393
1372,SRR6395334
1378,SRR6399033
1458,SRR1520089
1503,SRR2181640
1562,SRR3108908
1573,SRR5217693
1584,SRR7547846
1648,SRR6354028
1649,SRR7130345
1662,SRR1803139
1670,SRR4417915
1671,SRR5076992
1674,SRR5647020
1675,SRR5647021
1681,SRR2221099
1696,SRR3771337
1699,SRR4841806
1726,SRR1695784
1733,SRR2049101
1734,SRR3143632
1812,SRR2133157
1815,SRR2134925
1841,SRR3028136
1855,SRR3707473
1858,SRR5438750
1861,SRR3707414
1871,SRR6240011
1930,SRR3067409
1965,SRR6513948
2041,SRR5188389
