ID	Species	MLST	Locus_1	Locus_2	Locus_3	Locus_4	Locus_5	Locus_6	Locus_7	
ERR1102479.fa	lmonocytogenes	7459	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102480.fa	lmonocytogenes	2076	abcZ(2)	bglA(1)	cat(11)	dapE(3)	dat(3)	ldh(1)	lhkA(7)	
ERR1102481.fa	lmonocytogenes	2072	abcZ(5)	bglA(6)	cat(8)	dapE(62)	dat(6)	ldh(7)	lhkA(34)	
ERR1102482.fa	lmonocytogenes	2064	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102483.fa	lmonocytogenes	2041	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102484.fa	lmonocytogenes	2041	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102485.fa	lmonocytogenes	2041	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102486.fa	lmonocytogenes	2041	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102487.fa	lmonocytogenes	2041	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102488.fa	lmonocytogenes	2041	abcZ(5)	bglA(29)	cat(8)	dapE(129)	dat(1)	ldh(7)	lhkA(1)	
ERR1102489.fa	lmonocytogenes	2041	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102490.fa	lmonocytogenes	2040	abcZ(5)	bglA(6)	cat(2)	dapE(29)	dat(5)	ldh(3)	lhkA(1)	
ERR1102491.fa	lmonocytogenes	2023	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102492.fa	lmonocytogenes	2016	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102493.fa	lmonocytogenes	2013	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102494.fa	lmonocytogenes	2011	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102495.fa	lmonocytogenes	2010	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102496.fa	lmonocytogenes	2004	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102497.fa	lmonocytogenes	2002	abcZ(22)	bglA(33)	cat(21)	dapE(24)	dat(17)	ldh(31)	lhkA(13)	
ERR1102498.fa	lmonocytogenes	2001	abcZ(5)	bglA(29)	cat(102)	dapE(62)	dat(6)	ldh(7)	lhkA(34)	
ERR1102499.fa	lmonocytogenes	1999	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102500.fa	lmonocytogenes	1999	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102501.fa	lmonocytogenes	1998	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102502.fa	lmonocytogenes	1997	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102503.fa	lmonocytogenes	1996	abcZ(6)	bglA(5)	cat(6)	dapE(20)	dat(1)	ldh(4)	lhkA(1)	
ERR1102504.fa	lmonocytogenes	1995	abcZ(7)	bglA(6)	cat(10)	dapE(6)	dat(1)	ldh(2)	lhkA(1)	
ERR1102505.fa	lmonocytogenes	1994	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102506.fa	lmonocytogenes	1993	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102507.fa	lmonocytogenes	1992	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102508.fa	lmonocytogenes	1992	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102509.fa	lmonocytogenes	1991	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102510.fa	lmonocytogenes	1990	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102511.fa	lmonocytogenes	1989	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102512.fa	lmonocytogenes	1988	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102513.fa	lmonocytogenes	1987	abcZ(15)	bglA(10)	cat(66)	dapE(18)	dat(1)	ldh(3)	lhkA(1)	
ERR1102514.fa	lmonocytogenes	1986	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102515.fa	lmonocytogenes	1985	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102516.fa	lmonocytogenes	1984	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102517.fa	lmonocytogenes	1983	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102518.fa	lmonocytogenes	1982	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102519.fa	lmonocytogenes	1981	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102520.fa	lmonocytogenes	1980	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102521.fa	lmonocytogenes	1979	abcZ(6)	bglA(5)	cat(6)	dapE(4)	dat(1)	ldh(4)	lhkA(1)	
ERR1102522.fa	lmonocytogenes	1978	abcZ(7)	bglA(14)	cat(10)	dapE(19)	dat(1)	ldh(8)	lhkA(1)	
ERR1102523.fa	lmonocytogenes	1977	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102524.fa	lmonocytogenes	1976	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102525.fa	lmonocytogenes	1975	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102526.fa	lmonocytogenes	1974	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102527.fa	lmonocytogenes	1973	abcZ(7)	bglA(10)	cat(16)	dapE(7)	dat(5)	ldh(2)	lhkA(1)	
ERR1102528.fa	lmonocytogenes	1972	abcZ(7)	bglA(10)	cat(16)	dapE(7)	dat(5)	ldh(2)	lhkA(1)	
ERR1102529.fa	lmonocytogenes	1971	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102530.fa	lmonocytogenes	1970	abcZ(5)	bglA(6)	cat(2)	dapE(29)	dat(5)	ldh(3)	lhkA(1)	
ERR1102531.fa	lmonocytogenes	1969	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102532.fa	lmonocytogenes	1969	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102533.fa	lmonocytogenes	1968	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102534.fa	lmonocytogenes	1967	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102535.fa	lmonocytogenes	1966	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102536.fa	lmonocytogenes	1966	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102537.fa	lmonocytogenes	1965	abcZ(7)	bglA(10)	cat(16)	dapE(7)	dat(5)	ldh(2)	lhkA(1)	
ERR1102538.fa	lmonocytogenes	1965	abcZ(7)	bglA(10)	cat(16)	dapE(7)	dat(5)	ldh(2)	lhkA(1)	
ERR1102539.fa	lmonocytogenes	1965	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102540.fa	lmonocytogenes	1965	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102541.fa	lmonocytogenes	1965	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102542.fa	lmonocytogenes	1965	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102543.fa	lmonocytogenes	1965	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102544.fa	lmonocytogenes	1965	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102545.fa	lmonocytogenes	1965	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102546.fa	lmonocytogenes	1964	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102547.fa	lmonocytogenes	1964	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102548.fa	lmonocytogenes	1963	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102549.fa	lmonocytogenes	1963	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102550.fa	lmonocytogenes	1962	abcZ(6)	bglA(5)	cat(6)	dapE(4)	dat(1)	ldh(4)	lhkA(1)	
ERR1102551.fa	lmonocytogenes	1961	abcZ(5)	bglA(6)	cat(8)	dapE(62)	dat(6)	ldh(7)	lhkA(34)	
ERR1102552.fa	lmonocytogenes	1960	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102553.fa	lmonocytogenes	1959	abcZ(1)	bglA(2)	cat(12)	dapE(3)	dat(2)	ldh(5)	lhkA(3)	
ERR1102554.fa	lmonocytogenes	1959	abcZ(5)	bglA(8)	cat(5)	dapE(7)	dat(6)	ldh(2)	lhkA(1)	
ERR1102555.fa	lmonocytogenes	1959	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102556.fa	lmonocytogenes	1959	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102557.fa	lmonocytogenes	1958	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102558.fa	lmonocytogenes	1957	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102559.fa	lmonocytogenes	1956	abcZ(17)	bglA(13)	cat(3)	dapE(6)	dat(5)	ldh(7)	lhkA(1)	
ERR1102560.fa	lmonocytogenes	1955	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102561.fa	lmonocytogenes	1954	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102562.fa	lmonocytogenes	1953	abcZ(1)	bglA(51)	cat(11)	dapE(13)	dat(2)	ldh(5)	lhkA(5)	
ERR1102563.fa	lmonocytogenes	1952	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102564.fa	lmonocytogenes	1951	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102565.fa	lmonocytogenes	1950	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102566.fa	lmonocytogenes	1949	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
ERR1102567.fa	lmonocytogenes	1948	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102568.fa	lmonocytogenes	1947	abcZ(12)	bglA(1)	cat(4)	dapE(14)	dat(3)	ldh(39)	lhkA(4)	
ERR1102569.fa	lmonocytogenes	1946	abcZ(8)	bglA(6)	cat(13)	dapE(6)	dat(5)	ldh(2)	lhkA(1)	
ERR1102570.fa	lmonocytogenes	1945	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(5)	
ERR1102571.fa	lmonocytogenes	1944	abcZ(1)	bglA(1)	cat(11)	dapE(11)	dat(2)	ldh(1)	lhkA(5)	
ERR1102572.fa	lmonocytogenes	1943	abcZ(3)	bglA(1)	cat(1)	dapE(1)	dat(3)	ldh(1)	lhkA(3)	
ERR1102573.fa	lmonocytogenes	1942	abcZ(4)	bglA(4)	cat(4)	dapE(3)	dat(2)	ldh(1)	lhkA(116)	
ERR1102574.fa	lmonocytogenes	1941	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102575.fa	lmonocytogenes	1940	abcZ(5)	bglA(7)	cat(6)	dapE(4)	dat(5)	ldh(4)	lhkA(1)	
ERR1102576.fa	lmonocytogenes	1939	abcZ(5)	bglA(10)	cat(8)	dapE(21)	dat(6)	ldh(2)	lhkA(1)	
ERR1102577.fa	lmonocytogenes	1938	abcZ(5)	bglA(10)	cat(8)	dapE(21)	dat(6)	ldh(2)	lhkA(1)	
ERR1102578.fa	lmonocytogenes	1937	abcZ(7)	bglA(6)	cat(8)	dapE(8)	dat(6)	ldh(37)	lhkA(1)	
